Name,GitHub ID,Episode,Season,Season Title,Title,Duration (min),Primary Setting,Core Technology,Strategic Milestone,Canon Status,Source,Status,Notes
117 – The Red Harvest,117,117,1,The Great Awakening & The Baltic Vault,The Red Harvest,43,Sateda,Caloric Grain Prototype,Early Wraith caloric tests begin.,Locked,GitHub,Locked,
118 – The Void Beacon,118,118,1,The Great Awakening & The Baltic Vault,The Void Beacon,43,Deep Space,Long-range Quantum Beacon,First detection of anomalous CMB signal.,Locked,GitHub,Locked,
119 – The First Pulse,119,119,1,The Great Awakening & The Baltic Vault,The First Pulse,43,Baltic Gateway,Phase-Neutralization Test,Non-lethal pulse doctrine validated.,Locked,GitHub,Locked,
120 – The Fifth Race,120,120,1,The Great Awakening & The Baltic Vault,The Fifth Race,43,Geneva / Baltic,Four Races Charter,Humanity formally recognized as the Fifth Race.,Locked,GitHub,Locked,
201 – The Aresian Threshold,201,201,2,The Red Genesis & Sol System Infrastructure,The Aresian Threshold,43,Mars (Ares City),Geothermal Steam Conduits,Valles Marineris pressure drop solved by volunteers.,Locked,GitHub,Locked,
202 – Liquid Methane Run,202,202,2,The Red Genesis & Sol System Infrastructure,Liquid Methane Run,43,Titan (Saturn) / Kraken Mare,Liquid Methane Haulers,Titan harvesting supplies cryogenic ZPM coolants.,Locked,GitHub,Locked,
203 – The Archimedes Ignition,203,203,2,The Red Genesis & Sol System Infrastructure,The Archimedes Ignition,43,Archimedes Forge (Sun L1),Solar Magnetic Plasma Scoop,Coronal mass ejection plasma tapped for ZPM-02.,Locked,GitHub,Locked,
204 – The Ceres Artery,204,204,2,The Red Genesis & Sol System Infrastructure,The Ceres Artery,43,Ceres Spire / Prometheus II,Gravimetric Tractor Fields,Runaway asteroid refinery caught and restabilized.,Locked,GitHub,Locked,
205 – Cradle of the Moon,205,205,2,The Red Genesis & Sol System Infrastructure,Cradle of the Moon,43,Moon L2 Orbital Gantry,Archimedes Zero-G Slipway,Keel-laying starts for City-Ship TSS Hyperion.,Locked,GitHub,Locked,
206 – Dust and Water,206,206,2,The Red Genesis & Sol System Infrastructure,Dust and Water,43,Mars,Atmospheric Processors,Terraforming progress accelerates.,Locked,GitHub,Locked,
207 – The Shadow Pipeline,207,207,2,The Red Genesis & Sol System Infrastructure,The Shadow Pipeline,43,Sol System,Smuggling Interdiction,Black market resource network dismantled.,Locked,GitHub,Locked,
208 – The Red Monorail,208,208,2,The Red Genesis & Sol System Infrastructure,The Red Monorail,43,Ares City,Maglev Infrastructure,Mars internal transport network online.,Locked,GitHub,Locked,
209 – Coronal Tap,209,209,2,The Red Genesis & Sol System Infrastructure,Coronal Tap,43,Archimedes Forge,Plasma Harvest Array,Stable high-yield ZPM feedstock achieved.,Locked,GitHub,Locked,
210 – The Allocation Debate,210,210,2,The Red Genesis & Sol System Infrastructure,The Allocation Debate,43,Geneva,Resource Allocation Protocols,Assembly compromises on splitting ZPM output.,Locked,GitHub,Locked,
211 – Sub-Crust Aquifers,211,211,2,The Red Genesis & Sol System Infrastructure,Sub-Crust Aquifers,43,Mars (Vastitas Borealis),Acoustic 144 Hz Resonators,Subterranean aquifers tapped to fill Aresian Sea.,Locked,GitHub,Locked,
212 – The Merchant Marine,212,212,2,The Red Genesis & Sol System Infrastructure,The Merchant Marine,43,Long Beach Interstellar Hub,Titan-Class Freighters,Deep Freight Guild converts container fleet.,Locked,GitHub,Locked,
213 – The Langaran Ledger,213,213,2,The Red Genesis & Sol System Infrastructure,The Langaran Ledger,43,Langara / Kelowna,Kelownan Naquadria Refineries,Jonas Quinn defuses nationalist mining strike.,Locked,GitHub,Locked,
214 – The Ice Spires of Europa,214,214,2,The Red Genesis & Sol System Infrastructure,The Ice Spires of Europa,43,Europa (Jupiter),Ancient Sub-Crust Array,Dormant Lantean sensory outpost found under ice.,Locked,GitHub,Locked,
215 – Atmospheric Breach,215,215,2,The Red Genesis & Sol System Infrastructure,Atmospheric Breach,43,Mars (Ares City),Gravimetric Pulse Lasers,Micro-meteoroid storm repelled by F-302s.,Locked,GitHub,Locked,
216 – Extraction Day,216,216,2,The Red Genesis & Sol System Infrastructure,Extraction Day,43,Ceres / Sol,Automated Mining Swarms,First full industrial extraction cycle completed.,Locked,GitHub,Locked,
217 – The Maiden Lift,217,217,2,The Red Genesis & Sol System Infrastructure,The Maiden Lift,43,Moon L2,City-Ship Lift Systems,Hyperion primary structure leaves drydock.,Locked,GitHub,Locked,
218 – The Council of Sol,218,218,2,The Red Genesis & Sol System Infrastructure,The Council of Sol,43,Geneva / Ares City,Interplanetary Governance Protocols,Sol System Council formally convened.,Locked,GitHub,Locked,
219 – Vastitas Awakening,219,219,2,The Red Genesis & Sol System Infrastructure,Vastitas Awakening,43,Mars,Terraforming Arrays,Northern plains show first sustained liquid water.,Locked,GitHub,Locked,
220 – The Red Genesis,220,220,2,The Red Genesis & Sol System Infrastructure,The Red Genesis,43,Mars / Sol,Full Sol Super-Grid,Season 2 finale: Sol System declared post-scarcity.,Locked,GitHub,Locked,
301 – The Void Highway,301,301,3,The Tri-Galactic Weave,The Void Highway,43,Intergalactic Space,Furling Gravimetric Corridor,First stable Sol–Andromeda corridor opened.,Locked,GitHub,Locked,
302 – The Beacon of Aethel-Prime,302,302,3,The Tri-Galactic Weave,The Beacon of Aethel-Prime,43,Aethel-Prime (M31),Living Memory Lattice,Contact with living Furling civilization established.,Locked,GitHub,Locked,
303 – First Contact: M31,303,303,3,The Tri-Galactic Weave,First Contact: M31,43,Aethel-Prime,Diplomatic Translation Matrix,Formal First Contact protocols with Furlings.,Locked,GitHub,Locked,
304 – The Spires of Glass,304,304,3,The Tri-Galactic Weave,The Spires of Glass,43,Aethel-Prime,Non-Euclidean Architecture,Human teams adapt to Furling spatial geometry.,Locked,GitHub,Locked,
305 – The Ring of Light,305,305,3,The Tri-Galactic Weave,The Ring of Light,43,Andromeda Core,Tri-Galactic Resonance Ring,Primary resonance lock between three galaxies initiated.,Locked,GitHub,Locked,
306 – Keystone Three,306,306,3,The Tri-Galactic Weave,Keystone Three,43,Triangulum (M33),Sub-Sea Anchor Spire,Third galactic keystone locked.,Locked,GitHub,Locked,
307 – Sub-Sea Titans,307,307,3,The Tri-Galactic Weave,Sub-Sea Titans,43,Aethel-M33,Acoustic Containment Fields,Deep-ocean Furling constructs revealed.,Locked,GitHub,Locked,
308 – The Resonance Handshake,308,308,3,The Tri-Galactic Weave,The Resonance Handshake,43,Tri-Galactic Core,432 Hz Cross-Galactic Sync,Full three-galaxy resonance achieved.,Locked,GitHub,Locked,
309 – The Exchange,309,309,3,The Tri-Galactic Weave,The Exchange,43,Aethel-Prime / Geneva,Knowledge Transfer Protocols,First major technology exchange with Furlings.,Locked,GitHub,Locked,
310 – Bio-Crystalline Genesis,310,310,3,The Tri-Galactic Weave,Bio-Crystalline Genesis,43,Pegasus / New Valhalla,Cellular Vitality Incubators,Asgard biological rebirth begins.,Locked,GitHub,Locked,
311 – The Void Raiders,311,311,3,The Tri-Galactic Weave,The Void Raiders,43,Intergalactic Void,Phase-Shift Detection,First hostile encounter in the corridors.,Locked,GitHub,Locked,
312 – The Clean Planet,312,312,3,The Tri-Galactic Weave,The Clean Planet,43,Unnamed World,Atmospheric Restoration Array,Demonstration of planetary-scale healing.,Locked,GitHub,Locked,
313 – Ammonia & Oxygen,313,313,3,The Tri-Galactic Weave,Ammonia & Oxygen,43,Toxic World,Biosphere Conversion,Hostile atmosphere transformed for settlement.,Locked,GitHub,Locked,
314 – The Ancient Charter,314,314,3,The Tri-Galactic Weave,The Ancient Charter,43,Aethel-Prime,Furling Legal Codex,Humanity receives full Fifth Race charter rights.,Locked,GitHub,Locked,
315 – The Starliner Corridor,315,315,3,The Tri-Galactic Weave,The Starliner Corridor,43,Sol–Andromeda Route,Civilian Transit Protocols,First civilian passenger corridor opened.,Locked,GitHub,Locked,
316 – The Weave Tightens,316,316,3,The Tri-Galactic Weave,The Weave Tightens,43,Tri-Galactic Network,Resonance Amplifiers,Corridor bandwidth increased tenfold.,Locked,GitHub,Locked,
317 – Echoes of the Ancients,317,317,3,The Tri-Galactic Weave,Echoes of the Ancients,43,Lost Outpost,Memory Crystals,Recovered Lantean-Furling joint research.,Locked,GitHub,Locked,
318 – The Quiet Accord,318,318,3,The Tri-Galactic Weave,The Quiet Accord,43,Geneva / Aethel-Prime,Diplomatic Protocols,Non-aggression and mutual aid treaties signed.,Locked,GitHub,Locked,
319 – Bridge of Three Suns,319,319,3,The Tri-Galactic Weave,Bridge of Three Suns,43,Intergalactic Nexus,Stable Multi-Gate Hub,Permanent three-galaxy transit hub activated.,Locked,GitHub,Locked,
320 – The Tri-Galactic Weave,320,320,3,The Tri-Galactic Weave,The Tri-Galactic Weave,43,Sector 00-Null Preview,Full Resonance Network,Season 3 finale: Tri-Galactic civilization declared.,Locked,GitHub,Locked,
401 – Keel of the Moon,401,401,4,The Olympos Rising,Keel of the Moon,43,Moon L2 Gantry,Olympos Superstructure,Hyperion primary keel completed.,Locked,GitHub,Locked,
402 – The First Ring,402,402,4,The Olympos Rising,The First Ring,43,Moon L2,Gravimetric Rings,First habitat ring pressurized.,Locked,GitHub,Locked,
403 – Star-Dart Zero,403,403,4,The Olympos Rising,Star-Dart Zero,43,Flight Academy,PJX-01 Prototype,First Star-Dart test flight successful.,Locked,GitHub,Locked,
404 – NCT Awakening,404,404,4,The Olympos Rising,NCT Awakening,43,Hyperion Bridge,Neuro-Crystalline Transceiver,First ATA-bypass control of city-ship systems.,Locked,GitHub,Locked,
405 – Acoustic Spires,405,405,4,The Olympos Rising,Acoustic Spires,43,Hyperion,432 Hz Resonance Lattice,City-ship internal grid reaches zero resistance.,Locked,GitHub,Locked,
406 – The Trinium Bottleneck,406,406,4,The Olympos Rising,The Trinium Bottleneck,43,Ceres / Sol,Trinium Refining,Supply crisis resolved by multi-system mining.,Locked,GitHub,Locked,
407 – Bubble Shield Alpha,407,407,4,The Olympos Rising,Bubble Shield Alpha,43,Hyperion,Lantean Bubble Shield,Full 360° multi-phase shield test passed.,Locked,GitHub,Locked,
408 – The Non-Lethal Doctrine,408,408,4,The Olympos Rising,The Non-Lethal Doctrine,43,Geneva / Hyperion,Phase-Neutralization Pulse,TDIA formally adopts non-lethal primary doctrine.,Locked,GitHub,Locked,
409 – Cadet Hayes,409,409,4,The Olympos Rising,Cadet Hayes,43,Flight Academy,Star-Dart Trainer,First multi-species pilot cohort graduates.,Locked,GitHub,Locked,
410 – Spire of Command,410,410,4,The Olympos Rising,Spire of Command,43,Hyperion,Command Lattice,Hyperion bridge fully online.,Locked,GitHub,Locked,
411 – Inertial Cocoon,411,411,4,The Olympos Rising,Inertial Cocoon,43,Star-Dart,Inertial Dampening Field,High-g maneuvers validated for pilot safety.,Locked,GitHub,Locked,
412 – The Shakedown Cruise,412,412,4,The Olympos Rising,The Shakedown Cruise,43,Sol System,Full City-Ship Systems,Hyperion first independent transit.,Locked,GitHub,Locked,
413 – Five Keels,413,413,4,The Olympos Rising,Five Keels,43,Moon L2,Mass Production Protocols,"Sister ships Aethelgard, Shenzhou, Dakara's Dawn, Valhalla Prime laid down.",Locked,GitHub,Locked,
414 – Gate-Prime Transit,414,414,4,The Olympos Rising,Gate-Prime Transit,43,Baltic Gateway,Star-Dart Gate Interface,First human-cast Gate-Prime transit by Cadet Hayes.,Locked,GitHub,Locked,
415 – The Living City,415,415,4,The Olympos Rising,The Living City,43,Hyperion,Bio-Integrated Systems,Civilian population begins permanent residency.,Locked,GitHub,Locked,
416 – Pulse Doctrine Test,416,416,4,The Olympos Rising,Pulse Doctrine Test,43,Deep Space,Phase-Neutralization Pulse,Live-fire non-lethal test against drone swarm.,Locked,GitHub,Locked,
417 – The Aethelgard Commission,417,417,4,The Olympos Rising,The Aethelgard Commission,43,Baltic Orbit,City-Ship CS-02,TSS Aethelgard enters service.,Locked,GitHub,Locked,
418 – Concordat of the Rings,418,418,4,The Olympos Rising,Concordat of the Rings,43,Geneva,Multi-Ship Command Protocols,Olympos-class fleet command structure ratified.,Locked,GitHub,Locked,
419 – The Shield of Olympos,419,419,4,The Olympos Rising,The Shield of Olympos,43,Hyperion,Integrated Defense Network,Full fleet shield synchronization achieved.,Locked,GitHub,Locked,
420 – Olympos Rising,420,420,4,The Olympos Rising,Olympos Rising,43,Sol / Hyperion,Complete Olympos Fleet,Season 4 finale: Humanity fields its first true city-ship armada.,Locked,GitHub,Locked,
501 – The Caloric Seed,501,501,5,The Ascetic Concordat,The Caloric Seed,43,Sateda,Furling Caloric Grain,Full-scale Wraith caloric transition begins.,Locked,GitHub,Locked,
502 – Siege of Sateda,502,502,5,The Ascetic Concordat,Siege of Sateda,43,Sateda,Cerebro-Dampener,Queen Death accepts the cure under fire.,Locked,GitHub,Locked,
503 – The Ascetic Guild,503,503,5,The Ascetic Concordat,The Ascetic Guild,43,New Athos,Post-Hunger Wraith Society,Ascetic Guild formally founded.,Locked,GitHub,Locked,
504 – Canal of Memory,504,504,5,The Ascetic Concordat,Canal of Memory,43,New Athos,Joint Restoration,Teyla and Ronon lead first joint human-Wraith project.,Locked,GitHub,Locked,
505 – New Valhalla,505,505,5,The Ascetic Concordat,New Valhalla,43,Pegasus,Cellular Vitality Incubators,Asgard biological rebirth reaches critical mass.,Locked,GitHub,Locked,
506 – Hope of Lantea,506,506,5,The Ascetic Concordat,Hope of Lantea,43,Atlantis / Doranda,Hybrid Cruiser,PFS Hope of Lantea commissioned.,Locked,GitHub,Locked,
507 – The Concordat Seal,507,507,5,The Ascetic Concordat,The Concordat Seal,43,Atlantis,Multi-Species Treaty,"Pegasus Concordat signed by human, Wraith, Asgard, Athosian representatives.",Locked,GitHub,Locked,
508 – Tomb of the Queens,508,508,5,The Ascetic Concordat,Tomb of the Queens,43,Sateda,Historical Reconciliation,Former feeding grounds converted to memorial.,Locked,GitHub,Locked,
509 – Valhalla's Pride,509,509,5,The Ascetic Concordat,Valhalla's Pride,43,Pegasus,Neo-Asgard Carrier,NCS Valhalla's Pride enters Concordat service.,Locked,GitHub,Locked,
510 – The Last Hunger,510,510,5,The Ascetic Concordat,The Last Hunger,43,Rogue Hive,Caloric Enforcement,Final resistant hive converted or neutralized.,Locked,GitHub,Locked,
511 – Shared Sky,511,511,5,The Ascetic Concordat,Shared Sky,43,New Athos,Integrated Defense,Joint human-Wraith orbital patrol begins.,Locked,GitHub,Locked,
512 – The Reclamation,512,512,5,The Ascetic Concordat,The Reclamation,43,Multiple Worlds,Planetary Restoration,First ten worlds fully restored from Wraith occupation scars.,Locked,GitHub,Locked,
513 – Ascetic Concordat,513,513,5,The Ascetic Concordat,Ascetic Concordat,43,Atlantis,Full Concordat Framework,Season 5 mid-point: Pegasus declared post-hunger.,Locked,GitHub,Locked,
514 – The Ascetic Vow,514,514,5,The Ascetic Concordat,The Ascetic Vow,43,New Athos,Ascetic Doctrine,Formal vows of the Ascetic Guild ratified.,Locked,GitHub,Locked,
515 – The Dark Nebula Probe,515,515,5,The Ascetic Concordat,The Dark Nebula Probe,43,Achenar Dark Nebula,Long-range Probe,First detailed survey of the Dark Nebula.,Locked,GitHub,Locked,
516 – Intergalactic Bridgehead,516,516,5,The Ascetic Concordat,Intergalactic Bridgehead,43,Pegasus / Sol Corridor,Permanent Gate Bridge,Stable high-volume corridor established.,Locked,GitHub,Locked,
517 – The Siege of Sateda,517,517,5,The Ascetic Concordat,The Siege of Sateda,43,Sateda,Joint Defense,Final major military action of the transition era.,Locked,GitHub,Locked,
518 – The Surrender of Dark Sector,518,518,5,The Ascetic Concordat,The Surrender of Dark Sector,43,Dark Sector,Non-Lethal Enforcement,Last resistant pockets accept Concordat terms.,Locked,GitHub,Locked,
519 – The Transformation Concordat,519,519,5,The Ascetic Concordat,The Transformation Concordat,43,Atlantis,Full Legal Framework,Comprehensive post-hunger legal code adopted.,Locked,GitHub,Locked,
520 – The Vanishing Hunger,520,520,5,The Ascetic Concordat,The Vanishing Hunger,43,Pegasus,Caloric Transition Complete,Season 5 finale: Wraith hunger declared ended.,Locked,GitHub,Locked,
601 – Sector 00-Null,601,601,6,The Cosmological Engine,Sector 00-Null,43,Universal Center,Prime Construct Access,First controlled approach to Sector 00-Null.,Locked,GitHub,Locked,
602 – The First Iteration,602,602,6,The Cosmological Engine,The First Iteration,43,Sector 00-Null,CMB Source Code,Contact with First Iteration intelligence.,Locked,GitHub,Locked,
603 – Rift Zero,603,603,6,The Cosmological Engine,Rift Zero,43,Cosmic Perimeter,Rift Detection Array,Primary universe-threatening rift located.,Locked,GitHub,Locked,
604 – The Bosonic Needle,604,604,6,The Cosmological Engine,The Bosonic Needle,43,Sector 00-Null,Bosonic Inversion Beam,First successful micro-rift seal.,Locked,GitHub,Locked,
605 – Aegis-Null Awakens,605,605,6,The Cosmological Engine,Aegis-Null Awakens,43,Deep Space,Aegis-Null Dreadnought,Ancient automated custodian reactivated.,Locked,GitHub,Locked,
606 – The Memory of Light,606,606,6,The Cosmological Engine,The Memory of Light,43,Sector 00-Null,CMB Holographic Compiler,First full reconstruction of a destroyed world from CMB data.,Locked,GitHub,Locked,
607 – Rift Cascade,607,607,6,The Cosmological Engine,Rift Cascade,43,Multiple Sectors,Multi-Beam Synchronization,Simultaneous sealing of seven secondary rifts.,Locked,GitHub,Locked,
608 – The Custodian Protocol,608,608,6,The Cosmological Engine,The Custodian Protocol,43,Hyperion / 00-Null,Aegis Command Interface,Humanity granted limited Custodian authority.,Locked,GitHub,Locked,
609 – Echoes of the First,609,609,6,The Cosmological Engine,Echoes of the First,43,Sector 00-Null,First Iteration Archive,Direct communion with primordial creators begins.,Locked,GitHub,Locked,
610 – The Lattice Fracture,610,610,6,The Cosmological Engine,The Lattice Fracture,43,Universal Web,Reality Lattice Sensors,Major structural weakness in spacetime mapped.,Locked,GitHub,Locked,
611 – Needle and Thread,611,611,6,The Cosmological Engine,Needle and Thread,43,Rift Zone,Precision Bosonic Array,Surgical sealing technique perfected.,Locked,GitHub,Locked,
612 – The Silent Construct,612,612,6,The Cosmological Engine,The Silent Construct,43,Sector 00-Null,Dormant First Iteration Systems,Additional ancient machinery brought online.,Locked,GitHub,Locked,
613 – Threshold of the Real,613,613,6,The Cosmological Engine,Threshold of the Real,43,00-Null Amphitheater,Reality Interface,Human minds safely interface with CMB Source Code.,Locked,GitHub,Locked,
614 – The Thirty-Two,614,614,6,The Cosmological Engine,The Thirty-Two,43,Cosmic Perimeter,Full Rift Inventory,All 32 primary cavitation rifts catalogued.,Locked,GitHub,Locked,
615 – Engine of Continuance,615,615,6,The Cosmological Engine,Engine of Continuance,43,Sector 00-Null,Prime Construct Core,Season 6 mid-point: Cosmological Engine partially under human stewardship.,Locked,GitHub,Locked,
616 – The Long Seal,616,616,6,The Cosmological Engine,The Long Seal,43,Multiple Rift Zones,Sustained Bosonic Arrays,Twelve additional rifts permanently closed.,Locked,GitHub,Locked,
617 – Custodian's Burden,617,617,6,The Cosmological Engine,Custodian's Burden,43,Geneva / 00-Null,Ethical Oversight Framework,Limits on reality-altering power codified.,Locked,GitHub,Locked,
618 – The Returning Signal,618,618,6,The Cosmological Engine,The Returning Signal,43,Deep Space,CMB Echo Analysis,Unexpected reply from beyond the local universe.,Locked,GitHub,Locked,
619 – Fracture Point,619,619,6,The Cosmological Engine,Fracture Point,43,Critical Rift,Emergency Seal Protocol,Near-catastrophe averted at primary fracture.,Locked,GitHub,Locked,
620 – The Cosmological Engine,620,620,6,The Cosmological Engine,The Cosmological Engine,43,Sector 00-Null,Full Engine Interface,Season 6 finale: Humanity accepts permanent Custodian role.,Locked,GitHub,Locked,
701 – The 90-Hz Threshold,701,701,7,The Higher Lattice,The 90-Hz Threshold,43,Baltic Gateway,90-Hz Synaptic Field,First controlled approach to ascension frequency.,Locked,GitHub,Locked,
702 – Lisa Varma,702,702,7,The Higher Lattice,Lisa Varma,43,Baltic / Higher Lattice,Controlled Ascension,First peaceful human ascension achieved.,Locked,GitHub,Locked,
703 – Nox Elder Lya,703,703,7,The Higher Lattice,Nox Elder Lya,43,Nox World,Ascension Guidance,Nox formally advise on Hybrid Doctrine.,Locked,GitHub,Locked,
704 – The Back-Emf Crisis,704,704,7,The Higher Lattice,The Back-Emf Crisis,43,Global Grid,Energetic Dampening,Early ascension experiments destabilize local grid.,Locked,GitHub,Locked,
705 – Rights of the Higher,705,705,7,The Higher Lattice,Rights of the Higher,43,Geneva,Legal Framework,Ascension Rights Charter drafted.,Locked,GitHub,Locked,
706 – Community Empathy,706,706,7,The Higher Lattice,Community Empathy,43,Chicago / Global,90-Hz Community Fields,Mass empathy resonance events begin.,Locked,GitHub,Locked,
707 – The First Pillar,707,707,7,The Higher Lattice,The First Pillar,43,Baltic Gateway,Ascension Anchor,First permanent Higher Lattice node established.,Locked,GitHub,Locked,
708 – The Resonance Harmonizer,708,708,7,The Higher Lattice,The Resonance Harmonizer,43,Global Grid,90-Hz Stabilizers,Grid-wide back-emf fully controlled.,Locked,GitHub,Locked,
709 – Mind-Tide on Mars,709,709,7,The Higher Lattice,Mind-Tide on Mars,43,Ares City,Planetary Empathy Field,Mass resonance event on Mars.,Locked,GitHub,Locked,
710 – The Subspace Filament,710,710,7,The Higher Lattice,The Subspace Filament,43,Interstellar Space,Subspace Lattice Link,Higher Lattice extends beyond Sol.,Locked,GitHub,Locked,
711 – The Higher Navigators,711,711,7,The Higher Lattice,The Higher Navigators,43,Higher Lattice,Ascended Guidance,Lisa Varma and others form the first Navigator cadre.,Locked,GitHub,Locked,
712 – The Ancient Mirror,712,712,7,The Higher Lattice,The Ancient Mirror,43,Lost Ancient Site,Ascension Archive,Recovered Ancient records on controlled ascension.,Locked,GitHub,Locked,
713 – Symphony of Sateda,713,713,7,The Higher Lattice,Symphony of Sateda,43,New Athos,Multi-Species Resonance,Human-Wraith-Asgard joint empathy event.,Locked,GitHub,Locked,
714 – The Cognitive Threshold,714,714,7,The Higher Lattice,The Cognitive Threshold,43,Baltic,Neural Interface,Safe mass cognitive expansion protocols validated.,Locked,GitHub,Locked,
715 – Echoes of the Ori,715,715,7,The Higher Lattice,Echoes of the Ori,43,Former Ori Space,Residual Faith Energy,Ori remnant energetic signatures neutralized.,Locked,GitHub,Locked,
716 – The Telepathic Commons,716,716,7,The Higher Lattice,The Telepathic Commons,43,Global,Open Empathy Network,Voluntary telepathic commons established.,Locked,GitHub,Locked,
717 – The Transcendent Choir,717,717,7,The Higher Lattice,The Transcendent Choir,43,Higher Lattice,Collective Ascended Consciousness,First multi-mind ascended chorus formed.,Locked,GitHub,Locked,
718 – The Veil of Aethel-Prime,718,718,7,The Higher Lattice,The Veil of Aethel-Prime,43,Aethel-Prime,Furling Higher Weave,Furling reveal their own long-standing Higher Lattice.,Locked,GitHub,Locked,
719 – The Wave of Coherence,719,719,7,The Higher Lattice,The Wave of Coherence,43,Tri-Galactic,Synchronized 90-Hz Pulse,Coherence wave propagates across three galaxies.,Locked,GitHub,Locked,
720 – The Higher Lattice,720,720,7,The Higher Lattice,The Higher Lattice,43,Universal,Fully Operational Higher Lattice,Season 7 finale: Controlled ascension becomes a recognized path.,Locked,GitHub,Locked,
801 – The Black Maw,801,801,8,Pax Terrana,The Black Maw,43,Achenar Dark Nebula,Lucian Alliance Remnant,Final major pirate stronghold located.,Locked,GitHub,Locked,
802 – The Cartel Summit,802,802,8,Pax Terrana,The Cartel Summit,43,Achenar,Diplomatic Pressure,Keva unites remaining cartels.,Locked,GitHub,Locked,
803 – Hyperion Pulse,803,803,8,Pax Terrana,Hyperion Pulse,43,Achenar Dark Nebula,Phase-Neutralization Pulse,3.8-second fleet-wide depowering ends resistance.,Locked,GitHub,Locked,
804 – The Conversion,804,804,8,Pax Terrana,The Conversion,43,Achenar,Ship Conversion Protocols,Keva's flagship becomes Achenar Hope.,Locked,GitHub,Locked,
805 – Arbiter Corps,805,805,8,Pax Terrana,Arbiter Corps,43,Geneva / Hyperion,Non-Lethal Enforcement Body,Permanent Arbiter Corps founded.,Locked,GitHub,Locked,
806 – Pax Terrana Proclaimed,806,806,8,Pax Terrana,Pax Terrana Proclaimed,43,Geneva,Legal Framework,Daniel and O'Neill co-proclaim Pax Terrana.,Locked,GitHub,Locked,
807 – The Academy of Achenar,807,807,8,Pax Terrana,The Academy of Achenar,43,Achenar,Rehabilitation & Training,Former pirates begin officer training.,Locked,GitHub,Locked,
